,precision,recall,f1-score,support
B-AWARDS,0.8723404255319149,0.7884615384615384,0.8282828282828283,52.0
B-CERTIFICATION,0.8980169971671388,0.924198250728863,0.9109195402298851,343.0
B-COLLEGE NAME,0.822429906542056,0.7272727272727273,0.7719298245614035,121.0
B-COMPANIES WORKED AT,0.9535211267605633,0.9685264663805436,0.9609652235628106,699.0
B-CONTACT,0.0,0.0,0.0,1.0
B-DEGREE,0.8718861209964412,0.9423076923076923,0.9057301293900185,260.0
B-EMAIL ADDRESS,0.7,0.7777777777777778,0.7368421052631579,9.0
B-LANGUAGE,0.9943502824858758,0.9617486338797814,0.9777777777777777,183.0
B-LINKEDIN LINK,0.995049504950495,0.9852941176470589,0.9901477832512315,204.0
B-LOCATION,0.8383838383838383,0.8972972972972973,0.8668407310704961,185.0
B-NAME,0.9547738693467337,0.926829268292683,0.9405940594059405,205.0
B-SKILLS,0.9289693593314763,0.7719907407407407,0.843236409608091,864.0
B-UNIVERSITY,0.7604790419161677,0.8758620689655172,0.8141025641025641,145.0
B-WORKED AS,0.9294554455445545,0.9690322580645161,0.948831332912192,775.0
B-YEAR OF GRADUATION,0.3137254901960784,0.3333333333333333,0.32323232323232326,48.0
B-YEARS OF EXPERIENCE,0.8876404494382022,0.9820441988950276,0.9324590163934426,724.0
I-AWARDS,0.9010416666666666,0.8084112149532711,0.8522167487684729,214.0
I-CERTIFICATION,0.9297520661157025,0.9325044404973357,0.9311262193319539,1689.0
I-COLLEGE NAME,0.8277945619335347,0.6799007444168734,0.7465940054495913,403.0
I-COMPANIES WORKED AT,0.937593984962406,0.9482889733840304,0.9429111531190927,1315.0
I-DEGREE,0.8717948717948718,0.951048951048951,0.9096989966555183,1859.0
I-LANGUAGE,0.2962962962962963,0.2,0.23880597014925373,160.0
I-LINKEDIN LINK,0.993006993006993,0.9964912280701754,0.9947460595446584,285.0
I-LOCATION,0.8095238095238095,0.940959409594096,0.8703071672354948,271.0
I-NAME,0.9473684210526315,0.935064935064935,0.9411764705882353,231.0
I-SKILLS,0.8851851851851852,0.6732394366197183,0.7648,710.0
I-UNIVERSITY,0.7161862527716186,0.7858880778588808,0.7494199535962877,411.0
I-WORKED AS,0.8978960396039604,0.9571240105540897,0.9265644955300127,1516.0
I-YEAR OF GRADUATION,0.0,0.0,0.0,12.0
I-YEARS OF EXPERIENCE,0.8940809968847352,0.9882920110192838,0.9388289172391233,1452.0
O,0.9861325115562404,0.9834050399508297,0.9847668872134174,74842.0
accuracy,0.9700957998846853,0.9700957998846853,0.9700957998846853,0.9700957998846853
macro avg,0.7940217908369737,0.793954672357341,0.7917372481762993,90188.0
weighted avg,0.9700239009094245,0.9700957998846853,0.9696653755785628,90188.0
